movieId,tmdbId,title,release_date,genres,overview,popularity,runtime,tagline,vote_average,vote_count,original_language,backdrop_path,poster_path,keywords
105835.0,146015.0,O Duplo,2014.0,Thriller|Drama,"Simon (Jesse Eisenberg) é um jovem e neurótico rapaz, que certo dia, tem um grande choque ao se deparar com seu novo colega de trabalho, um sujeito com a mesma aparência física que a sua, porém, personalidade exatamente oposta, chamado James. Além de aguentar as humilhações constantes de seu chefe (Wallace Shawn), agora, Simon descobre que seu sósia ocupa seu cargo pouco importante na empresa e tem que lidar com esse novo colega, que é tudo que ele não é: confiante, charmoso, bem sucedido e superficial.",8.677,92.0,"Um funcionário de uma agência do governo descobre que sua vida nada invejável muda para o horror com a chegada de um novo colega de trabalho que é tanto seu duplo físico quanto seu oposto - confiante, carismático e sedutor com as mulheres.",6.5,747.0,en,/sFNvHmELf07kwBQwxPN0OHGWVzF.jpg,/nXcqxN1FnQTnZf8I8Zy8Wp0ZNuh.jpg,k236|k818
107769.0,227348.0,Atividade Paranormal: Marcados pelo Mal,2014.0,Terror|Thriller,Jesse começa a experienciar fenômenos perturbadores e inexplicáveis após a morte de sua vizinha. Ele descobre que está possuído por uma entidade demoníaca. É apenas uma questão de tempo até que esteja completamente sob o controle dessa força maligna.,60.197,101.0,,5.4,1101.0,en,/eAISoFMi29BVBKH1VRpne4mJ26K.jpg,/r8IqmVSFxk5NSDToMDr6lP2UyrO.jpg,k6152|k9712
107910.0,124623.0,I Know That Voice,2014.0,Documentary,Filmmaker Lawrence Shapiro discusses voice-over acting with the talented people behind the characters.,6.375,95.0,A documentary that puts a face to the voices we all know and love,7.1,71.0,en,/p4r3FHgoELOxIoYlF9QVUBskfIQ.jpg,/eIYd9xNhFSyKhvd9oBvXq9kXdc6.jpg,
108156.0,168530.0,Policial em Apuros,2014.0,Ação|Comédia,"Ben trabalha como segurança em um colégio, e namora a bela Angela. Quando o namoro se torna sério, ele pensa em se casar com ela, mas antes tem que enfrentar o irmão protetor dela, James, um policial linha dura. Para entregar a mão de sua irmã a Ben, James faz uma proposta: os dois vão sair em patrulha juntos, durante 24h. Se ele provar ser digno de entrar na família, receberá a aprovação para o casamento.",19.362,99.0,Propor a irmã deste policial? Erro de novato.,6.2,1793.0,en,/4y5Ek9mjzWuvz8Y5SVbrSwx0X2L.jpg,/b0fok58kIjQoS7y3NK6sf5VzTXG.jpg,
108188.0,137094.0,Operação Sombra: Jack Ryan,2014.0,Ação|Drama|Thriller,"O agente Jack Ryan é mandado a Moscou para trabalhar como consultor financeiro de um bilionário. O empregador, na verdade, arma para que Ryan leve a culpa por um ataque terrorista ao sistema financeiro dos EUA. O herói precisa, então, correr para limpar seu nome e salvar sua esposa, que foi pega como refém do bilionário.",38.393,105.0,Operação Sombra - Jack Ryan,6.1,2299.0,en,/gjP487CUTanqW2aOrohX7m5FNG0.jpg,/r0Z5gDSgS1h6bzdt7L4psUTtSzn.jpg,k9826
108190.0,157350.0,Divergente,2014.0,Ação|Aventura|Ficção científica,"Uma emocionante ação e aventura que se passa em um mundo futuro, no qual a sociedade foi dividida em cinco facções distintas. Mas Tris não se encaixa em nenhum desses grupos – ela é Divergente, e o que a torna perigosa. Na mira da líder de uma das facções – determinada a eliminar todos os divergentes – Tris recorre à única pessoa em quem ela acredita que possa confiar: Quatro, um instrutor da facção de segurança, Audácia, e um homem cheio de segredos sombrios. Juntos, Tris e Quatro descobrem uma alucinante conspiração que testará sua coragem ao máximo... E mudará seus destinos para sempre.",68.73,139.0,,6.9,10799.0,en,/ipikQozG6cAtLqhaFqRneA0LI4o.jpg,/kLX3LtUcOsoJXfyp8D31aqwDoNc.jpg,k818|k9685
108200.0,240916.0,Um Álibi Perfeito,2014.0,Crime|Thriller,"Mitch (Dominic Cooper) sai com os amigos para um bar, e no fim da noite, embriagado, ele pega o carro para voltar para casa. Um homem aparece em seu caminho, e Mitch o atropela. Sem saber como agir, esse jovem advogado deixa o cadáver na rua e foge, pensando não ter sido visto por ninguém. Nos dias seguintes, outro homem, Clinton (Samuel L. Jackson) é incriminado pelo assassinato, e o advogado chamado para defendê-lo é justamente Mitch.",30.971,91.0,A prova é o fardo,5.9,442.0,en,/6QdHEPM8Efq1xFxeelq3OD0ifXv.jpg,/xz2GPDlXuVfH8FgL81dqSSsSF0Q.jpg,
108243.0,79316.0,O Herdeiro do Diabo,2014.0,Terror,"Logo após o casamento de Jack e Samantha, este casal apaixonado recebe a boa notícia: eles vão ter um bebê. A gravidez chega antes do planejado, mas os dois ficam contentes e começam a se preparar para a chegada do primeiro filho. Samantha começa a ficar cada vez mais tensa, nervosa. Inicialmente, todos acreditam que são apenas os hormônios em transformação, mas logo percebem que uma força maligna se apoderou do corpo dela.",24.119,89.0,,4.6,407.0,en,/22qysYEwRuULLU9Ep8IkxPFOUnR.jpg,/cgK5r6uh3tWxUzM1Oh72cNjFoe4.jpg,
108468.0,177047.0,Unidas Pela Vida,2014.0,Drama,"Quando Annie Parker (Samantha Morton) descobre que está com câncer, mesma doença que provocou a morte de sua mãe e de sua irmã, ela perde o controle, e sua vida se torna um caos. Decidida a não desistir, ela conta com a ajuda de uma pesquisadora que está tentando provar que o câncer pode ser genético.",7.237,91.0,,6.2,61.0,en,/9dc7SH3Jo9sL4ompJAFVS3RPzHw.jpg,/tGAH1vvayu1yMabxgr9iyqgvX0o.jpg,k1326
108571.0,250769.0,Mitt,2014.0,Documentary,A filmmaker is granted unprecedented access to a political candidate and his family as he runs for President.,3.975,93.0,"Whatever side you're on, see another side.",6.3,44.0,en,,/v1bfKOvTqQDseBAetUpNKn1Iq3q.jpg,
108689.0,100241.0,Frankenstein: Entre Anjos e Demônios,2014.0,Terror|Thriller,"Após enterrar o Dr. Victor Frankenstein, o monstro criado por ele é atacado por demônios, que pretendem capturá-lo. Ele consegue se salvar e segue sua vida. Porém, 200 anos depois, o monstro, agora com o nome de Adam, acaba se envolvendo em uma guerra entre dois clãs imortais na cidade ancestral de Darkhaven.",17.94,92.0,200 anos depois.... a lenda está viva!,5.3,1502.0,en,/boJ25eE6F32zddn62Cf9xVdmAjR.jpg,/yzhhMRxXimA3ODrDI18an61tcIy.jpg,k6152
108715.0,157099.0,Rolou Uma Química,2014.0,Drama|Comédia,"A vida sem graça de um farmacêutico de uma cidadezinha é virada pelo avesso, quando um encontro casual com uma bela mulher casada e solitária se torna uma aventura selvagem, nesta hilariante comédia de humor negro, estrelada por Sam Rockwell e Olivia Wilde. Doug Varney (Sam Rockwell) sempre foi ignorado durante anos, por todo o mundo, desde Kara (Michelle Monaghan), sua esposa dominadora, até pelos preguiçosos empregados da farmácia que ele comprou de seu sogro insuportável. Quando Doug começa um caso regado a álcool e drogas com Elizabeth (Olivia Wilde), a mulher mais bonita que já conheceu, ninguém fica mais surpreso que ele mesmo. Elenco: Sam Rockwell, Olivia Wilde, Michelle Monaghan, Ray Liotta, Jane Fonda.",11.506,92.0,Não Existe Fórmula Para a Felicidade,6.0,203.0,en,/qnx8XZfvCNhRZCWThq2UW2BV5Gb.jpg,/9PpwTNDsXnuGHcwBdpgybVSwsFN.jpg,
108797.0,236399.0,O Jardim dos Esquecidos,2014.0,Drama|Mistério|Thriller|Cinema TV,"Após a morte do pai, Chris, Cathy, e os irmãos gêmeos Carrie e Cory são levados pela mãe para o único lugar onde poderiam morar: a casa dos avós, a mansão Foxworth Hall. Enganadas achando que a nova vida seria cheia de luxos e sonhos realizados, as crianças não imaginavam que os avós as consideravam frutos do Demônio. Também não sabiam que seus pais eram parentes de sangue e que haviam cometido um pecado ao se casarem e terem filhos e que, segundo a avó, tais aberrações deveriam ser trancadas num pequeno quartinho na ala norte, tendo apenas um sótão onde brincar. Refilmagem de um clássico de terror de 1987.",12.404,86.0,,6.5,277.0,en,/8dpS7rlYt6BAHkHsAhEsJ4vqgCF.jpg,/11uRv4MRRilqIPphDzwp3fQNUkP.jpg,
108928.0,152760.0,Caçadores de Obras-Primas,2014.0,Guerra|Drama|História|Ação,"Durante o declínio de Hitler na Alemanha, um grupo de 13 especialistas vindos de países diferentes é reunido para reencontrar obras de arte roubadas pelos nazistas durante a Segunda Guerra Mundial. George Stout (George Clooney), um oficial americano e conservador de obras de arte, lidera a equipe.",24.707,118.0,,6.0,2922.0,en,/2B56HEsUkQUaRRQe1jDu4QA6Bgs.jpg,/pPr0yONkXWA9GgX3PAoM1YA8P9W.jpg,
